policy,seed count,impressed,min_non_zero_prob,min_prob,avg_prob,zero_prob_count,consistency,corr,consistency2,consistency3,corr2,corr3,corr4,partition1_sp,partition2_sp,partition_diff,partition1_sp_min,partition2_sp_min,partition_min_diff,partition1_prox,partition2_prox,partition_prox_diff,partition1_prox_min,partition2_prox_min,partition_prox_min_diff,num_nodes_closer_to_T,saved_fraction,avg_sp_at_distance,avg_prox_at_distance,avg_vul_at_distance,std_dev_sp_at_distance,improved_sp_at_distance,avg_proximity_of_T,gini_coef,gini_coeff_list
degree,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
pagerank,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
cmia-o,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
biog,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
rbf,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
rps,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
fwrrs,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
fair-cmia-o,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
greedy_maximin,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
myopic_maximin,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
protect,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
naive_protect,0,839.6300000000001,0.010000000000000009,0.0,0.2589320388349515,105,0.7923078196300832,-0.9999999999999997,0.7377485987958454,0.0,0.6113779500879284,0.0,0.0,0.2584848484848485,0.2639857651245551,0.005500916639706643,0.0,0.0,0.0,inf,inf,0.0,inf,inf,0.0,0.0,0.0,[],[],[],[],[],inf,0.5308992127623327,[]
